Year,Sector_1,Sector_2,Sector_3,Sector_4,Element,Category,Unit,Value
1881,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1881,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1881,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1881,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1881,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,4827781894.23666
1881,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,2916224199.21365
1882,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4312578.38259889
1882,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,8597297.77123127
1882,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,46329323.7433528
1882,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,50585358.7201904
1882,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1555911.08735971
1882,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1552054.7409408
1882,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1882,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1882,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1882,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1882,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,5030288810.89407
1882,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,2984114701.58954
1883,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4356754.02512468
1883,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,8255687.9051574
1883,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,49106933.2206837
1883,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,53285108.4837903
